,Compound,left,right,TRAN,LMD
399,plywood,ply,wood,4.75,7.933333333333334
400,pocketbook,pocket,book,4.2,4.933333333333334
401,pocketknife,pocket,knife,6.142857142857143,6.666666666666667
402,policeman,police,man,6.133333333333334,3.066666666666667
403,ponytail,pony,tail,3.533333333333333,6.133333333333334
404,popcorn,pop,corn,5.785714285714286,6.6
405,popgun,pop,gun,4.142857142857143,6.416666666666667
406,poppycock,poppy,cock,1.6,4.076923076923077
407,priesthood,priest,hood,4.266666666666667,2.2
408,primrose,prim,rose,2.0,7.928571428571429
409,printout,print,out,4.866666666666666,3.2666666666666666
410,prizefight,prize,fight,4.857142857142857,5.714285714285714
411,puffball,puff,ball,4.636363636363637,6.066666666666666
412,purebred,pure,bred,5.428571428571429,4.666666666666667
413,quarterback,quarter,back,1.6666666666666667,4.785714285714286
414,railroad,rail,road,5.866666666666666,4.357142857142857
415,railway,rail,way,4.357142857142857,2.6666666666666665
416,ransack,ran,sack,1.8571428571428572,6.384615384615385
417,rattail,rat,tail,4.846153846153846,6.4
418,rattlesnake,rattle,snake,5.933333333333334,6.333333333333333
419,rawhide,raw,hide,4.0,6.25
420,razorback,razor,back,2.7857142857142856,4.833333333333333
421,rooftop,roof,top,6.266666666666667,4.133333333333334
422,roommate,room,mate,5.785714285714286,5.066666666666666
423,rubberneck,rubber,neck,2.6666666666666665,5.533333333333333
424,rubdown,rub,down,4.5,2.857142857142857
425,saddlebag,saddle,bag,5.076923076923077,5.933333333333334
426,saucepan,sauce,pan,5.571428571428571,7.133333333333334
427,scarecrow,scare,crow,4.466666666666667,4.133333333333334
428,scatterbrain,scatter,brain,5.285714285714286,4.466666666666667
429,scoutmaster,scout,master,5.466666666666667,5.214285714285714
430,scrapbook,scrap,book,3.9285714285714284,6.466666666666667
431,screenplay,screen,play,5.214285714285714,5.8
432,seaboard,sea,board,3.642857142857143,3.727272727272727
433,seacoast,sea,coast,6.076923076923077,5.266666666666667
434,seafood,sea,food,6.142857142857143,4.933333333333334
435,seafront,sea,front,5.2,3.466666666666667
436,sealskin,seal,skin,5.083333333333333,5.384615384615385
437,seaman,sea,man,5.538461538461538,4.666666666666667
438,seaplane,sea,plane,4.4,5.928571428571429
439,seaport,sea,port,5.642857142857143,5.933333333333334
440,seashore,sea,shore,6.5,5.0
441,seasick,sea,sick,5.866666666666666,6.333333333333333
442,seaside,sea,side,6.266666666666667,4.066666666666666
443,seawater,sea,water,6.666666666666667,5.333333333333333
444,seaweed,sea,weed,5.769230769230769,5.733333333333333
445,seesaw,see,saw,2.357142857142857,5.8
446,setback,set,back,3.5714285714285716,6.666666666666667
447,setup,set,up,3.4285714285714284,2.8666666666666667
448,shamrock,sham,rock,2.25,5.3076923076923075
449,sharkskin,shark,skin,5.923076923076923,4.6
450,shatterproof,shatter,proof,4.214285714285714,3.6666666666666665
451,shellfish,shell,fish,5.785714285714286,5.733333333333333
452,shinbone,shin,bone,6.076923076923077,5.266666666666667
453,shindig,shin,dig,1.9166666666666667,5.2
454,shotgun,shot,gun,5.533333333333333,6.666666666666667
455,shutdown,shut,down,4.153846153846154,4.466666666666667
456,sickbay,sick,bay,3.75,3.727272727272727
457,sickbed,sick,bed,5.076923076923077,5.466666666666667
458,sickroom,sick,room,5.357142857142857,5.285714285714286
459,sightsee,sight,see,5.8,5.133333333333334
460,signpost,sign,post,5.133333333333334,4.785714285714286
461,silkworm,silk,worm,4.384615384615385,7.333333333333333
462,singsong,sing,song,4.769230769230769,5.2
463,sisterhood,sister,hood,3.7142857142857144,2.066666666666667
464,skateboard,skate,board,5.533333333333333,4.933333333333334
465,sketchbook,sketch,book,6.133333333333334,5.2
466,skinhead,skin,head,4.6923076923076925,5.266666666666667
467,skullcap,skull,cap,5.416666666666667,5.4
468,slapstick,slap,stick,2.909090909090909,3.533333333333333
469,sleepwalk,sleep,walk,6.0,5.533333333333333
470,slingshot,sling,shot,5.133333333333334,4.933333333333334
471,slowpoke,slow,poke,3.142857142857143,2.066666666666667
472,snakebite,snake,bite,6.733333333333333,5.6
473,snapdragon,snap,dragon,2.25,5.214285714285714
474,snapshot,snap,shot,4.0,6.133333333333334
475,soapbox,soap,box,4.5,5.866666666666666
476,songbird,song,bird,5.857142857142857,6.133333333333334
477,songbook,song,book,5.769230769230769,5.0
478,soundproof,sound,proof,5.066666666666666,4.333333333333333
479,soundtrack,sound,track,4.0,4.4
480,sourdough,sour,dough,5.0,5.8
481,soybean,soy,bean,5.642857142857143,6.533333333333333
482,speedboat,speed,boat,6.0,6.2
483,spellbound,spell,bound,4.071428571428571,4.785714285714286
484,spendthrift,spend,thrift,4.545454545454546,6.416666666666667
485,spillover,spill,over,4.5,3.066666666666667
486,spotlight,spot,light,5.333333333333333,6.333333333333333
487,spyglass,spy,glass,4.357142857142857,5.357142857142857
488,stagecoach,stage,coach,3.9285714285714284,7.2
489,staircase,stair,case,3.533333333333333,1.7333333333333334
490,stairway,stair,way,4.066666666666666,2.8
491,stairwell,stair,well,3.4,2.1333333333333333
492,stalemate,stale,mate,2.923076923076923,4.428571428571429
493,stateside,state,side,4.142857142857143,4.6923076923076925
494,stationmaster,station,master,5.153846153846154,5.266666666666667
495,steadfast,stead,fast,2.7142857142857144,4.285714285714286
496,stingray,sting,ray,4.466666666666667,5.066666666666666
497,stomachache,stomach,ache,6.4,5.2
498,stovepipe,stove,pipe,4.833333333333333,5.066666666666666
499,stowaway,stow,away,4.5,4.066666666666666
500,streamline,stream,line,3.9285714285714284,5.214285714285714
501,striptease,strip,tease,5.266666666666667,4.266666666666667
502,sunbeam,sun,beam,5.933333333333334,4.666666666666667
503,sunburn,sun,burn,6.357142857142857,5.466666666666667
504,Sunday,Sun,day,1.9333333333333333,7.6
505,sundown,sun,down,6.071428571428571,4.8
506,sunflower,sun,flower,5.066666666666666,7.133333333333334
507,sunlamp,sun,lamp,4.538461538461538,6.466666666666667
508,sunlight,sun,light,6.769230769230769,5.0
509,sunrise,sun,rise,6.642857142857143,5.0
510,sunroof,sun,roof,5.571428571428571,6.333333333333333
511,sunset,sun,set,5.266666666666667,4.6
512,sunshine,sun,shine,6.0,4.333333333333333
513,sunspot,sun,spot,4.714285714285714,4.214285714285714
514,sunstroke,sun,stroke,4.857142857142857,5.214285714285714
515,suntan,sun,tan,5.785714285714286,6.4
516,superhuman,super,human,5.933333333333334,4.866666666666666
517,superimpose,super,impose,4.066666666666666,6.466666666666667
518,superman,super,man,5.285714285714286,5.066666666666666
519,supermarket,super,market,4.285714285714286,8.666666666666666
520,supersonic,super,sonic,4.8,5.571428571428571
521,superstar,super,star,4.6,5.533333333333333
522,supervision,super,vision,4.333333333333333,5.866666666666666
523,surfboard,surf,board,6.357142857142857,6.0
524,swimsuit,swim,suit,5.866666666666666,5.0
525,takeoff,take,off,3.8,6.214285714285714
526,takeover,take,over,4.866666666666666,4.466666666666667
